entity_name,variable_name,obs_count,first_date,last_date,min_val,max_val,avg_val
Lady Donli,Soundcloud_followers_daily,536,1/1/2024,12/31/2025,5243,5401,5335.923507462687
Lady Donli,Spotify_followers_daily,727,1/1/2024,12/31/2025,48124,54268,51744.167812929845
Lady Donli,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,123051,177351,144788.96561210454
Lady Donli,TikTok_followers_daily,727,1/1/2024,12/31/2025,7608,7920,7768.33287482806
Lady Donli,TikTok_likes_daily,637,1/1/2024,12/31/2025,176100,205308,198864.4693877551
Lady Donli,Twitter_followers_daily,11,12/13/2024,3/30/2025,70286,72636,71771
Lady Donli,Wikipedia_views_daily,731,1/1/2024,12/31/2025,4,152,18.549931600547197
Lady Donli,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,5940,6593,6318.3603851444295
Libianca,Bandsintown_followers_daily,522,1/1/2024,11/15/2025,0,21300,10721.346743295018
Libianca,Instagram_followers_daily,670,1/1/2024,12/31/2025,447384,505021,476194.64029850747
Libianca,Soundcloud_followers_daily,56,3/17/2025,12/31/2025,13677,15080,14867.107142857143
Libianca,Spotify_followers_daily,727,1/1/2024,12/31/2025,396739,586600,512325.47592847317
Libianca,Spotify_monthly_listeners_daily,544,1/1/2024,9/30/2025,5366681,11695359,7649654.430147059
Libianca,TikTok_followers_daily,724,1/1/2024,12/31/2025,955300,1100000,986384.5248618785
Libianca,TikTok_likes_daily,727,1/1/2024,12/31/2025,2200000,4453409,3030855.4291609353
Libianca,Twitter_followers_daily,518,3/12/2024,12/31/2025,15004,15822,15367.407335907335
Libianca,Wikipedia_views_daily,731,1/1/2024,12/31/2025,5,678,111.1203830369357
Libianca,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,945000,1260278,1117917.887207703
Lyta,Instagram_followers_daily,667,1/1/2024,12/31/2025,1880734,2221960,2049299.7091454272
Lyta,Soundcloud_followers_daily,192,1/1/2024,12/31/2025,4298,4585,4428.395833333333
Lyta,Spotify_followers_daily,727,1/1/2024,12/31/2025,266901,408731,344265.5804676754
Lyta,Spotify_monthly_listeners_daily,635,1/1/2024,9/30/2025,138361,364523,228473.24409448818
Lyta,TikTok_followers_daily,608,5/3/2024,12/31/2025,151300,230355,197530.65953947368
Lyta,TikTok_likes_daily,608,5/3/2024,12/31/2025,873500,2840000,1752476.6233552631
Lyta,Twitter_followers_daily,510,3/12/2024,12/31/2025,153155,161838,156579.20980392158
Lyta,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,88400,93447,90966.05502063273
M.I. Abaga,Instagram_followers_daily,666,1/1/2024,12/31/2025,1348301,1448430,1395702.5135135136
M.I. Abaga,Spotify_followers_daily,727,1/1/2024,12/31/2025,235574,290159,268943.65337001375
M.I. Abaga,Spotify_monthly_listeners_daily,636,1/1/2024,12/31/2025,176984,273351,215079.71698113208
M.I. Abaga,TikTok_followers_daily,636,1/1/2024,12/31/2025,10361,11200,10697.770440251572
M.I. Abaga,TikTok_likes_daily,636,1/1/2024,12/31/2025,56900,58416,57521.518867924526
M.I. Abaga,Twitter_followers_daily,495,3/12/2024,12/31/2025,1897128,2034257,1988697.6202020203
M.I. Abaga,Wikipedia_views_daily,731,1/1/2024,12/31/2025,17,6940,115.28727770177838
M.I. Abaga,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,94900,104500,99857.84869325998
Maleek Berry,Bandsintown_followers_daily,522,1/1/2024,11/15/2025,0,36377,30931.291187739465
Maleek Berry,Instagram_followers_daily,668,1/1/2024,12/31/2025,1067759,1151091,1109716.8128742515
Maleek Berry,Soundcloud_followers_daily,410,1/1/2024,12/31/2025,49979,53366,52207.50731707317
Maleek Berry,Spotify_followers_daily,636,1/1/2024,12/31/2025,594511,653441,631622.25
Maleek Berry,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,900129,1630291,1278262.6176066024
Maleek Berry,TikTok_followers_daily,726,1/1/2024,12/31/2025,49400,82100,64620.707988980714
Maleek Berry,TikTok_likes_daily,726,1/1/2024,12/31/2025,151600,685050,306362.0523415978
Maleek Berry,Twitter_followers_daily,516,3/12/2024,12/31/2025,478435,496778,487953.08914728684
Maleek Berry,Wikipedia_views_daily,724,1/1/2024,12/31/2025,15,244,48.95165745856354
Maleek Berry,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,586000,633750,608514.6272352132
Mannywellz,Bandsintown_followers_daily,522,1/1/2024,11/16/2025,0,9844,5819.128352490421
Mannywellz,Instagram_followers_daily,670,1/1/2024,12/31/2025,354785,436815,391668.82686567167
Mannywellz,Soundcloud_followers_daily,317,1/1/2024,12/31/2025,31421,33365,32117.078864353312
Mannywellz,Spotify_followers_daily,727,1/1/2024,12/31/2025,52921,105944,78772.2764786795
Mannywellz,Spotify_monthly_listeners_daily,544,1/1/2024,9/30/2025,194152,477254,310880.91911764705
Mannywellz,TikTok_followers_daily,727,1/1/2024,12/31/2025,280400,550600,451174.55570839066
Mannywellz,TikTok_likes_daily,727,1/1/2024,12/31/2025,5600000,14435714,10439496.953232462
Mannywellz,Twitter_followers_daily,519,3/12/2024,12/31/2025,10426,11169,10883.630057803468
Mannywellz,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,35600,58245,46648.26547455296
Mr Real,Instagram_followers_daily,277,1/1/2024,10/23/2025,679777,774271,742402.631768953
Mr Real,Spotify_followers_daily,727,1/1/2024,12/31/2025,13095,20550,17336.914718019256
