entity_type,entity_name,chartmetric_entity_id,variable_name,platform,geo_scope,geo_label,period_label,aggregation_rule,aggregated_value,unit,qoq_change,yoy_change
artist,Amaarae,834689,TikTok_followers_daily,TikTok,global,,Q2_2024,net_change,1100.0,followers,-10600.0,
artist,Amaarae,834689,TikTok_followers_daily,TikTok,global,,Q2_2025,net_change,83650.0,followers,77725.0,82550.0
artist,Amaarae,834689,TikTok_followers_daily,TikTok,global,,Q3_2024,net_change,8050.0,followers,6950.0,
artist,Amaarae,834689,TikTok_followers_daily,TikTok,global,,Q3_2025,net_change,17800.0,followers,-65850.0,9750.0
artist,Amaarae,834689,TikTok_followers_daily,TikTok,global,,Q4_2024,net_change,6800.0,followers,-1250.0,
artist,Amaarae,834689,TikTok_followers_daily,TikTok,global,,Q4_2025,net_change,2461.0,followers,-15339.0,-4339.0
artist,Amaarae,834689,TikTok_likes_daily,TikTok,global,,Q1_2024,net_change,200000.0,likes,,
artist,Amaarae,834689,TikTok_likes_daily,TikTok,global,,Q1_2025,net_change,215268.0,likes,56784.0,15268.0
artist,Amaarae,834689,TikTok_likes_daily,TikTok,global,,Q2_2024,net_change,0.0,likes,-200000.0,
artist,Amaarae,834689,TikTok_likes_daily,TikTok,global,,Q2_2025,net_change,941059.0,likes,725791.0,941059.0
artist,Amaarae,834689,TikTok_likes_daily,TikTok,global,,Q3_2024,net_change,281250.0,likes,281250.0,
artist,Amaarae,834689,TikTok_likes_daily,TikTok,global,,Q3_2025,net_change,505405.0,likes,-435654.0,224155.0
artist,Amaarae,834689,TikTok_likes_daily,TikTok,global,,Q4_2024,net_change,158484.0,likes,-122766.0,
artist,Amaarae,834689,TikTok_likes_daily,TikTok,global,,Q4_2025,net_change,173251.0,likes,-332154.0,14767.0
artist,Amaarae,834689,Twitter_followers_daily,Twitter,global,,Q1_2024,net_change,1898.0,followers,,
artist,Amaarae,834689,Twitter_followers_daily,Twitter,global,,Q1_2025,net_change,832.0,followers,-2888.0,-1066.0
artist,Amaarae,834689,Twitter_followers_daily,Twitter,global,,Q2_2024,net_change,6420.0,followers,4522.0,
artist,Amaarae,834689,Twitter_followers_daily,Twitter,global,,Q2_2025,net_change,5406.0,followers,4574.0,-1014.0
artist,Amaarae,834689,Twitter_followers_daily,Twitter,global,,Q3_2024,net_change,2604.0,followers,-3816.0,
artist,Amaarae,834689,Twitter_followers_daily,Twitter,global,,Q3_2025,net_change,2962.0,followers,-2444.0,358.0
artist,Amaarae,834689,Twitter_followers_daily,Twitter,global,,Q4_2024,net_change,3720.0,followers,1116.0,
artist,Amaarae,834689,Twitter_followers_daily,Twitter,global,,Q4_2025,net_change,236.0,followers,-2726.0,-3484.0
artist,Amaarae,834689,Wikipedia_views_daily,Wikipedia,global,,Q1_2024,sum,48304.0,views,,
artist,Amaarae,834689,Wikipedia_views_daily,Wikipedia,global,,Q1_2025,sum,24321.0,views,-14312.0,-23983.0
artist,Amaarae,834689,Wikipedia_views_daily,Wikipedia,global,,Q2_2024,sum,34312.0,views,-13992.0,
artist,Amaarae,834689,Wikipedia_views_daily,Wikipedia,global,,Q2_2025,sum,44603.0,views,20282.0,10291.0
artist,Amaarae,834689,Wikipedia_views_daily,Wikipedia,global,,Q3_2024,sum,55158.0,views,20846.0,
artist,Amaarae,834689,Wikipedia_views_daily,Wikipedia,global,,Q3_2025,sum,57142.0,views,12539.0,1984.0
artist,Amaarae,834689,Wikipedia_views_daily,Wikipedia,global,,Q4_2024,sum,38633.0,views,-16525.0,
